iter	Passed	Remaining
0	22	22193
1	38	19267
2	58	19592
3	79	19760
4	94	18740
5	118	19712
6	133	18875
7	148	18428
8	162	17938
9	180	17880
10	197	17759
11	218	18026
12	235	17871
13	252	17802
14	269	17694
15	285	17544
16	300	17391
17	316	17265
18	333	17224
19	349	17139
20	369	17219
21	393	17490
22	416	17698
23	440	17931
24	461	17999
25	484	18140
26	508	18342
27	537	18675
28	555	18583
29	571	18466
30	604	18882
31	621	18789
32	640	18774
33	657	18674
34	682	18808
35	698	18702
36	714	18583
37	731	18517
38	756	18651
39	772	18549
40	791	18524
41	810	18487
42	827	18425
43	843	18325
44	864	18354
45	879	18244
46	896	18176
47	910	18059
48	924	17946
49	938	17829
50	953	17734
51	969	17683
52	986	17618
53	1003	17588
54	1024	17594
55	1045	17624
56	1083	17923
57	1111	18048
58	1140	18191
59	1167	18298
60	1185	18248
61	1204	18227
62	1220	18155
63	1237	18095
64	1256	18070
65	1273	18015
66	1288	17942
67	1308	17938
68	1325	17883
69	1343	17852
70	1357	17759
71	1371	17675
72	1390	17656
73	1410	17653
74	1424	17568
75	1439	17496
76	1453	17417
77	1467	17346
78	1483	17291
79	1498	17228
80	1514	17188
81	1530	17133
82	1549	17116
83	1563	17044
84	1579	17006
85	1594	16946
86	1611	16909
87	1626	16860
88	1641	16806
89	1659	16783
90	1676	16744
91	1692	16705
92	1708	16661
93	1725	16631
94	1739	16573
95	1756	16540
96	1770	16484
97	1784	16421
98	1801	16399
99	1817	16355
100	1843	16405
101	1859	16369
102	1878	16358
103	1898	16359
104	1915	16329
105	1934	16318
106	1952	16295
107	1967	16246
108	1982	16206
109	1996	16149
110	2011	16107
111	2025	16062
112	2041	16025
113	2061	16023
114	2076	15976
115	2099	15996
116	2117	15979
117	2135	15965
118	2156	15962
119	2174	15944
120	2192	15927
121	2208	15893
122	2229	15899
123	2247	15875
124	2262	15835
125	2278	15802
126	2292	15755
127	2306	15711
128	2320	15669
129	2334	15623
130	2347	15574
131	2363	15542
132	2376	15495
133	2391	15454
134	2405	15414
135	2419	15370
136	2432	15324
137	2445	15278
138	2459	15237
139	2474	15197
140	2487	15156
141	2501	15111
142	2514	15071
143	2528	15031
144	2541	14984
145	2556	14952
146	2570	14915
147	2584	14877
148	2598	14841
149	2612	14804
150	2627	14771
151	2641	14735
152	2655	14700
153	2669	14665
154	2683	14629
155	2695	14585
156	2709	14547
157	2721	14504
158	2735	14466
159	2749	14433
160	2764	14404
161	2777	14368
162	2791	14335
163	2804	14297
164	2818	14263
165	2831	14227
166	2844	14190
167	2857	14150
168	2870	14115
169	2886	14091
170	2905	14087
171	2923	14071
172	2946	14086
173	2959	14050
174	2973	14017
175	2986	13980
176	2999	13946
177	3012	13912
178	3025	13877
179	3040	13849
180	3054	13822
181	3067	13786
182	3083	13764
183	3100	13751
184	3113	13717
185	3132	13710
186	3150	13695
187	3163	13664
188	3177	13633
189	3190	13601
190	3203	13569
191	3217	13541
192	3231	13510
193	3244	13478
194	3257	13445
195	3272	13423
196	3286	13398
197	3302	13378
198	3316	13351
199	3333	13333
200	3346	13303
201	3359	13273
202	3371	13238
203	3384	13207
204	3399	13182
205	3411	13149
206	3423	13116
207	3436	13085
208	3449	13054
209	3463	13030
210	3479	13010
211	3492	12980
212	3505	12951
213	3518	12924
214	3532	12897
215	3546	12871
216	3559	12844
217	3572	12816
218	3586	12789
219	3600	12764
220	3613	12736
221	3628	12717
222	3645	12700
223	3657	12671
224	3670	12643
225	3683	12616
226	3697	12589
227	3710	12562
228	3722	12533
229	3735	12505
230	3748	12478
231	3764	12460
232	3777	12435
233	3790	12407
234	3803	12383
235	3817	12357
236	3830	12330
237	3843	12304
238	3856	12278
239	3870	12255
240	3883	12229
241	3896	12204
242	3909	12180
243	3923	12156
244	3936	12131
245	3956	12127
246	3973	12113
247	3988	12093
248	4006	12082
249	4026	12079
250	4040	12057
251	4053	12032
252	4066	12005
253	4080	11983
254	4093	11959
255	4106	11935
256	4120	11911
257	4133	11886
258	4146	11862
259	4159	11837
260	4172	11814
261	4184	11786
262	4197	11762
263	4211	11740
264	4223	11714
265	4237	11693
266	4250	11668
267	4263	11645
268	4276	11621
269	4289	11597
270	4304	11579
271	4318	11559
272	4332	11538
273	4344	11512
274	4363	11503
275	4390	11517
276	4406	11501
277	4423	11489
278	4438	11468
279	4455	11455
280	4468	11432
281	4484	11416
282	4498	11396
283	4514	11380
284	4529	11364
285	4543	11342
286	4559	11326
287	4574	11309
288	4592	11299
289	4605	11275
290	4619	11254
291	4632	11232
292	4645	11209
293	4658	11187
294	4671	11164
295	4683	11139
296	4696	11116
